station_code,station_name,longitude,latitude,observations_url,forecast_url
JCUYZ,Comox,-124.9347222,49.6830556,http://dd.weather.gc.ca/air_quality/aqhi/pyr/observation/realtime/xml/AQ_OBS_JCUYZ_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/pyr/forecast/realtime/xml/AQ_FCST_JCUYZ_CURRENT.xml
JAHJY,Comox Valley,-124.9833,49.6833,http://dd.weather.gc.ca/air_quality/aqhi/pyr/observation/realtime/xml/AQ_OBS_JAHJY_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/pyr/forecast/realtime/xml/AQ_FCST_JAHJY_CURRENT.xml
JAIQY,Cranbrook,-115.7667,49.5,http://dd.weather.gc.ca/air_quality/aqhi/pyr/observation/realtime/xml/AQ_OBS_JAIQY_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/pyr/forecast/realtime/xml/AQ_FCST_JAIQY_CURRENT.xml
JBBWA,Duncan,-123.7,48.783333,http://dd.weather.gc.ca/air_quality/aqhi/pyr/observation/realtime/xml/AQ_OBS_JBBWA_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/pyr/forecast/realtime/xml/AQ_FCST_JBBWA_CURRENT.xml
JCVCC,Eastern Fraser Valley,-121.941666666667,49.175,http://dd.weather.gc.ca/air_quality/aqhi/pyr/observation/realtime/xml/AQ_OBS_JCVCC_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/pyr/forecast/realtime/xml/AQ_FCST_JCVCC_CURRENT.xml
JAGPB,Fort St. John,-120.846667,56.2525,http://dd.weather.gc.ca/air_quality/aqhi/pyr/observation/realtime/xml/AQ_OBS_JAGPB_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/pyr/forecast/realtime/xml/AQ_FCST_JAGPB_CURRENT.xml
JAFNW,Kamloops,-120.327222222222,50.6733333333333,http://dd.weather.gc.ca/air_quality/aqhi/pyr/observation/realtime/xml/AQ_OBS_JAFNW_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/pyr/forecast/realtime/xml/AQ_FCST_JAFNW_CURRENT.xml
JCMDB,Kitimat,-128.652222,54.053333,http://dd.weather.gc.ca/air_quality/aqhi/pyr/observation/realtime/xml/AQ_OBS_JCMDB_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/pyr/forecast/realtime/xml/AQ_FCST_JCMDB_CURRENT.xml
JBXHZ,Metro Vancouver - NE,-122.683333333333,49.2333333333333,http://dd.weather.gc.ca/air_quality/aqhi/pyr/observation/realtime/xml/AQ_OBS_JBXHZ_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/pyr/forecast/realtime/xml/AQ_FCST_JBXHZ_CURRENT.xml
JBRIK,Metro Vancouver - NW,-123.113889,49.261111,http://dd.weather.gc.ca/air_quality/aqhi/pyr/observation/realtime/xml/AQ_OBS_JBRIK_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/pyr/forecast/realtime/xml/AQ_FCST_JBRIK_CURRENT.xml
JAZBU,Metro Vancouver - SE,-122.75,49.1166666666667,http://dd.weather.gc.ca/air_quality/aqhi/pyr/observation/realtime/xml/AQ_OBS_JAZBU_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/pyr/forecast/realtime/xml/AQ_FCST_JAZBU_CURRENT.xml
JBJFI,Metro Vancouver - SW,-123.163333,49.163333,http://dd.weather.gc.ca/air_quality/aqhi/pyr/observation/realtime/xml/AQ_OBS_JBJFI_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/pyr/forecast/realtime/xml/AQ_FCST_JBJFI_CURRENT.xml
JAQAL,Nanaimo / Parksville,-123.933333333333,49.1666666666667,http://dd.weather.gc.ca/air_quality/aqhi/pyr/observation/realtime/xml/AQ_OBS_JAQAL_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/pyr/forecast/realtime/xml/AQ_FCST_JAQAL_CURRENT.xml
JBOAP,North Okanagan,-119.266666666667,50.2583333333333,http://dd.weather.gc.ca/air_quality/aqhi/pyr/observation/realtime/xml/AQ_OBS_JBOAP_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/pyr/forecast/realtime/xml/AQ_FCST_JBOAP_CURRENT.xml
JBLVS,Prince George,-122.75,53.9166666666667,http://dd.weather.gc.ca/air_quality/aqhi/pyr/observation/realtime/xml/AQ_OBS_JBLVS_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/pyr/forecast/realtime/xml/AQ_FCST_JBLVS_CURRENT.xml
JBNTS,Quesnel,-122.5,53.0,http://dd.weather.gc.ca/air_quality/aqhi/pyr/observation/realtime/xml/AQ_OBS_JBNTS_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/pyr/forecast/realtime/xml/AQ_FCST_JBNTS_CURRENT.xml
JBMQO,Smithers,-127.176111,54.779167,http://dd.weather.gc.ca/air_quality/aqhi/pyr/observation/realtime/xml/AQ_OBS_JBMQO_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/pyr/forecast/realtime/xml/AQ_FCST_JBMQO_CURRENT.xml
JBMPJ,Sparwood,-114.885833,49.733333,http://dd.weather.gc.ca/air_quality/aqhi/pyr/observation/realtime/xml/AQ_OBS_JBMPJ_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/pyr/forecast/realtime/xml/AQ_FCST_JBMPJ_CURRENT.xml
JCVCJ,Squamish,-123.133333,49.75,http://dd.weather.gc.ca/air_quality/aqhi/pyr/observation/realtime/xml/AQ_OBS_JCVCJ_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/pyr/forecast/realtime/xml/AQ_FCST_JCVCJ_CURRENT.xml
JBXCK,Terrace,-128.599722,54.516389,http://dd.weather.gc.ca/air_quality/aqhi/pyr/observation/realtime/xml/AQ_OBS_JBXCK_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/pyr/forecast/realtime/xml/AQ_FCST_JBXCK_CURRENT.xml
JBOBQ,Victoria / Saanich,-123.366666666667,48.4333333333333,http://dd.weather.gc.ca/air_quality/aqhi/pyr/observation/realtime/xml/AQ_OBS_JBOBQ_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/pyr/forecast/realtime/xml/AQ_FCST_JBOBQ_CURRENT.xml
JCLMX,WestShore,-123.493333,48.423611,http://dd.weather.gc.ca/air_quality/aqhi/pyr/observation/realtime/xml/AQ_OBS_JCLMX_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/pyr/forecast/realtime/xml/AQ_FCST_JCLMX_CURRENT.xml
JCJHI,Whistler,-122.966666666667,50.1166666666667,http://dd.weather.gc.ca/air_quality/aqhi/pyr/observation/realtime/xml/AQ_OBS_JCJHI_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/pyr/forecast/realtime/xml/AQ_FCST_JCJHI_CURRENT.xml
KAHFT,Whitehorse,-135.0808333,60.6961111,http://dd.weather.gc.ca/air_quality/aqhi/pyr/observation/realtime/xml/AQ_OBS_KAHFT_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/pyr/forecast/realtime/xml/AQ_FCST_KAHFT_CURRENT.xml
JBTMB,Williams Lake,-122.141666666667,52.1416666666667,http://dd.weather.gc.ca/air_quality/aqhi/pyr/observation/realtime/xml/AQ_OBS_JBTMB_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/pyr/forecast/realtime/xml/AQ_FCST_JBTMB_CURRENT.xml
